"","V1","V2","V3","V4","V5"
"set1.alt1","$-5","normal","International","Can change","Need change"
"set1.alt2","$0","biomass","Local","Cannot","No chagne"
"set2.alt1","$-5","normal","International","Can change","Need change"
"set2.alt2","$0","hydro","Local","Cannot","No chagne"
"set3.alt1","$5","solar","Local","Can change","Need change"
"set3.alt2","$5","All RES","International","Cannot","No chagne"
"set4.alt1","$5","hydro","International","Can change","No chagne"
"set4.alt2","$5","All RES","Local","Can change","Need change"
"set5.alt1","$0","wind","Local","Cannot","No chagne"
"set5.alt2","$-5","normal","Local","Cannot","Need change"
"set6.alt1","$2","All RES","International","Can change","No chagne"
"set6.alt2","$-5","normal","Local","Cannot","Need change"
"set7.alt1","$5","biomass","Local","Can change","No chagne"
"set7.alt2","$5","solar","Local","Cannot","Need change"
"set8.alt1","$5","solar","International","Can change","No chagne"
"set8.alt2","$2","wind","Local","Can change","Need change"
"set9.alt1","$0","solar","International","Cannot","No chagne"
"set9.alt2","$5","All RES","International","Can change","Need change"
"set10.alt1","$2","hydro","Local","Cannot","No chagne"
"set10.alt2","$0","biomass","Local","Cannot","Need change"
"set11.alt1","$2","biomass","Local","Cannot","No chagne"
"set11.alt2","$0","hydro","International","Can change","Need change"
"set12.alt1","$2","All RES","International","Can change","No chagne"
"set12.alt2","$5","wind","Local","Cannot","Need change"
